"filename", "language", "JSON", "JavaScript", "JavaScript React", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Emir\ReactSite\React-Example-Site\client\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 4, 5
"c:\Emir\ReactSite\React-Example-Site\client\package-lock.json", "JSON", 13972, 0, 0, 0, 0, 0, 0, 0, 1, 13973
"c:\Emir\ReactSite\React-Example-Site\client\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Emir\ReactSite\React-Example-Site\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 13, 2, 36
"c:\Emir\ReactSite\React-Example-Site\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Emir\ReactSite\React-Example-Site\client\src\App.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Emir\ReactSite\React-Example-Site\client\src\App.test.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Emir\ReactSite\React-Example-Site\client\src\components\button\button-style.jsx", "JavaScript React", 0, 0, 71, 0, 0, 0, 0, 5, 18, 94
"c:\Emir\ReactSite\React-Example-Site\client\src\components\footer\footer-style.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Emir\ReactSite\React-Example-Site\client\src\components\footer\footer.jsx", "JavaScript React", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Emir\ReactSite\React-Example-Site\client\src\components\image-block\image-block-style.jsx", "JavaScript React", 0, 0, 58, 0, 0, 0, 0, 2, 14, 74
"c:\Emir\ReactSite\React-Example-Site\client\src\components\image-block\image-block.jsx", "JavaScript React", 0, 0, 46, 0, 0, 0, 0, 3, 12, 61
"c:\Emir\ReactSite\React-Example-Site\client\src\components\input\input-style.jsx", "JavaScript React", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Emir\ReactSite\React-Example-Site\client\src\components\logo\logo-style.jsx", "JavaScript React", 0, 0, 31, 0, 0, 0, 0, 0, 12, 43
"c:\Emir\ReactSite\React-Example-Site\client\src\components\logo\logo.jsx", "JavaScript React", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Emir\ReactSite\React-Example-Site\client\src\components\nav\nav-bar-style.jsx", "JavaScript React", 0, 0, 178, 0, 0, 0, 0, 4, 27, 209
"c:\Emir\ReactSite\React-Example-Site\client\src\components\nav\nav-bar.jsx", "JavaScript React", 0, 0, 19, 0, 0, 0, 0, 4, 4, 27
"c:\Emir\ReactSite\React-Example-Site\client\src\components\nav\nav-links.jsx", "JavaScript React", 0, 0, 76, 0, 0, 0, 0, 12, 23, 111
"c:\Emir\ReactSite\React-Example-Site\client\src\components\nav\nav-logo-new.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 0, 1, 3, 43
"c:\Emir\ReactSite\React-Example-Site\client\src\components\nav\nav-logo-style.jsx", "JavaScript React", 0, 0, 38, 0, 0, 0, 0, 1, 10, 49
"c:\Emir\ReactSite\React-Example-Site\client\src\components\nav\nav-logo.jsx", "JavaScript React", 0, 0, 24, 0, 0, 0, 0, 1, 3, 28
"c:\Emir\ReactSite\React-Example-Site\client\src\components\nav\new-nav-logo.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 1, 6, 35
"c:\Emir\ReactSite\React-Example-Site\client\src\components\newsletter-form\newsletter-form.jsx", "JavaScript React", 0, 0, 45, 0, 0, 0, 0, 4, 8, 57
"c:\Emir\ReactSite\React-Example-Site\client\src\components\slide-show\slide-show-style.jsx", "JavaScript React", 0, 0, 98, 0, 0, 0, 0, 1, 15, 114
"c:\Emir\ReactSite\React-Example-Site\client\src\components\slide-show\slide-show.jsx", "JavaScript React", 0, 0, 90, 0, 0, 0, 0, 20, 14, 124
"c:\Emir\ReactSite\React-Example-Site\client\src\components\text-block\text-container-style.jsx", "JavaScript React", 0, 0, 123, 0, 0, 0, 0, 11, 34, 168
"c:\Emir\ReactSite\React-Example-Site\client\src\components\utility-components\scroll-to-top.jsx", "JavaScript React", 0, 0, 9, 0, 0, 0, 0, 1, 3, 13
"c:\Emir\ReactSite\React-Example-Site\client\src\components\utility-styles\utility-styles.jsx", "JavaScript React", 0, 0, 48, 0, 0, 0, 0, 3, 13, 64
"c:\Emir\ReactSite\React-Example-Site\client\src\device-sizes.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Emir\ReactSite\React-Example-Site\client\src\index.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Emir\ReactSite\React-Example-Site\client\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Emir\ReactSite\React-Example-Site\client\src\logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Emir\ReactSite\React-Example-Site\client\src\pages\download\download-page.jsx", "JavaScript React", 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Emir\ReactSite\React-Example-Site\client\src\pages\education\education.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Emir\ReactSite\React-Example-Site\client\src\pages\home\home.jsx", "JavaScript React", 0, 0, 51, 0, 0, 0, 0, 5, 11, 67
"c:\Emir\ReactSite\React-Example-Site\client\src\pages\information\information.jsx", "JavaScript React", 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Emir\ReactSite\React-Example-Site\client\src\serviceWorker.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 31, 13, 142
"c:\Emir\ReactSite\React-Example-Site\client\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Emir\ReactSite\React-Example-Site\models\email-subscriber.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Emir\ReactSite\React-Example-Site\package-lock.json", "JSON", 588, 0, 0, 0, 0, 0, 0, 0, 1, 589
"c:\Emir\ReactSite\React-Example-Site\package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Emir\ReactSite\React-Example-Site\server.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 2, 15, 62
"Total", "-", 14642, 202, 1169, 61, 7, 1, 21, 133, 306, 16542
